English Name,Latitude,Longitude,Hebrew Name,English Name,Alt English Names,UID,,,,,
MapsTooltip - Hidden - StringFilter,MapsLat - Hidden - NoFilter,MapsLong - Hidden - NoFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter,CategoryFilter
"Hönigsberg, Austria",47.58191,15.64635,העניגסבערג,"Hönigsberg, Austria",,AT-00072,,,,,
"Aspern, Vienna, Austria",48.2172549,16.4927219,אשפערן ביי ווין,"Aspern, Vienna, Austria",,AT-00073,,,,,
"Krumbach, Austria",47.5219,16.193685,קרומבאך,"Krumbach, Austria",,AT-00074,,,,,
"Deinzendorf, Gemeinde Zellerndorf, Austria",48.69585,15.92091,דיינענדארף,"Deinzendorf, Gemeinde Zellerndorf, Austria",,AT-00075,,,,,
"Felling, Austria",48.86516,15.79759,פעלינג,"Felling, Austria",,AT-00076,,,,,
"Wiesen, Austria",47.73779,16.33909,וויזן,"Wiesen, Austria",,AT-00077,,,,,
"Wiesen, Austria",47.73779,16.33909,רעטפאלו,"Wiesen, Austria",,AT-00077,,,,,
"Wimpassing im Schwarzatale, Austria",47.6992999,16.0329482,ווימפאסינג,"Wimpassing im Schwarzatale, Austria",,AT-00078,,,,,
"Döging, Gemeinde Aspach, Austria",48.19194,13.31867,דעגינג,"Döging, Gemeinde Aspach, Austria",,AT-00079,,,,,
"Donnerskirchen, Austria",47.89444,16.64661,דאנערסקירכען,"Donnerskirchen, Austria",,AT-00080,,,,,
"Carinthia, Austria",46.722203,14.1805882,מדינת קערנטן,"Carinthia, Austria",,AT-00081,,,,,
"Carinthia, Austria",46.722203,14.1805882,קערנטן,"Carinthia, Austria",,AT-00081,,,,,
"Dornbach, Wien, Austria",48.231272,16.2804609,דארנבאך,"Dornbach, Wien, Austria",,AT-00082,,,,,
"Kirchschlag bei Linz, Austria",48.4129959,14.2763981,קירכשלאג,"Kirchschlag bei Linz, Austria",,AT-00083,,,,,
"Landstrasse, Vienna, Austria",48.196389,16.395833,לאנדשטראססע,"Landstrasse, Vienna, Austria",,AT-00084,,,,,
Australia,-25.274398,133.775136,אוסטרליא,Australia,,AU-00000,,,,,
Australia,-25.274398,133.775136,אוסטרליה,Australia,,AU-00000,,,,,
